Life expectancy ,infant deaths,Alcohol,percentage expenditure,Hepatitis B,Measles , BMI ,under-five deaths ,Polio,Total expenditure,Diphtheria , HIV/AIDS,GDP, thinness  1-19 years, thinness 5-9 years,Income composition of resources,Schooling
67.5,154,0.06,102.633435,76,19456,2.5,188,77,3.1,73,0.2,1855.93915,1.8,1.7,0.638,11.0
73.8,1,9.3,772.8700353,99,201,55.1,1,93,1.2,94,0.1,5458.121718,2.4,2.4,0.743,13.5
79.1,3,11.83,5842.374765,88,121,57.1,3,96,1.37,96,0.1,34165.9343,1.1,1.1,0.877,16.4
54.9,28,6.0,63.75053034,94,0,29.9,42,93,6.31,93,13.3,839.927936,6.8,6.7,0.452,10.1
48.6,17,1.56,40.45156933,42,11,19.8,25,45,3.58,42,7.3,449.961839,9.1,9.1,0.345,6.4
50.0,36,1.27,74.34482999,91,20,16.9,58,92,1.7,91,16.9,372.842678,7.0,6.9,0.4,9.6
68.7,0,6.2,325.6807462,97,0,43.2,0,97,4.39,97,0.8,3831.53819,3.6,3.5,0.691,12.5
74.1,1,1.82,534.5795695,78,956,61.4,1,75,8.83,78,0.1,5372.65899,4.7,4.6,0.733,13.2
76.9,0,0.01,261.2914808,93,2,59.0,0,94,6.48,94,0.1,1929.7746,1.9,1.9,0.856,16.5
72.4,16,4.25,417.8038898,92,0,49.0,19,92,5.92,92,0.1,2246.257472,2.5,2.2,0.659,11.6
75.0,5,8.48,415.1627705,21,1333,59.0,5,54,6.98,5,0.2,3569.75727,2.4,2.5,0.734,14.9
75.2,1,6.48,421.4804282,94,0,55.7,1,94,7.46,94,0.1,6281.37747,1.8,1.7,0.742,14.2
80.0,1,2.41,250.9343317,96,2,6.6,1,95,7.44,93,0.1,2611.17931,1.1,1.1,0.866,15.8
71.0,0,1.0,43.19780767,59,0,45.7,0,67,3.96,68,0.1,247.97823,1.6,1.5,0.572,10.6
65.9,0,7.52,48.02859441,95,0,42.4,1,95,6.6,95,0.4,326.281212,5.6,5.3,0.618,10.2
68.9,4,2.88,332.1056586,75,2,46.2,4,94,8.2,92,0.4,2338.772244,2.1,2.0,0.615,11.6
77.2,1,12.0,1904.00231,82,8,51.7,1,96,9.15,98,0.1,12882.28897,0.8,0.6,0.788,15.9
89.0,3,11.9,7002.785925,47,604,59.1,3,98,1.57,98,0.1,45413.6571,0.6,0.6,0.877,16.1
78.7,0,11.41,1562.520827,88,1,55.3,0,98,6.37,98,0.1,25324.48666,0.9,1.0,0.826,13.5
74.7,1,3.33,235.7067417,9,0,49.7,1,9,5.16,9,0.6,4293.383274,1.9,1.7,0.721,12.7
89.0,2,11.03,941.7562909,88,443,61.9,3,94,11.3,95,0.1,4792.65288,1.1,1.1,0.92,17.0
71.9,0,4.16,509.3899943,98,28,27.5,0,98,4.29,98,0.1,5229.876738,7.8,7.7,0.696,12.8
68.5,19,2.83,140.6905284,99,476,41.4,22,99,5.65,99,0.1,1564.966945,3.0,3.1,0.664,12.0
78.4,0,11.68,1128.050886,88,0,53.8,0,98,6.12,98,0.1,16372.29152,0.9,1.0,0.805,12.5
61.9,38,0.01,28.66897829,9,319,27.3,55,91,4.63,9,0.9,1814.492297,6.6,6.4,0.57,11.5
67.5,16,12.04,161.7301654,98,27,56.6,18,98,6.22,98,0.3,11635.2637,2.3,2.5,0.769,13.9
72.2,0,1.8,423.2953509,9,0,68.6,0,91,4.87,9,0.1,2284.37858,0.1,0.1,0.693,14.6
78.9,0,11.56,1958.525877,93,0,56.3,0,97,6.5,97,0.1,31386.63265,0.9,1.0,0.836,13.5
81.2,0,10.75,746.3670453,95,33,62.1,0,96,7.78,96,0.1,5553.32623,0.3,0.2,0.91,18.6
73.2,1,3.96,2.8888979,89,0,5.1,1,91,3.8,89,0.1,41.26997,2.0,2.1,0.721,12.3
56.8,23,4.16,31.14187566,96,495,16.1,34,94,8.82,96,1.9,231.1943256,7.7,7.7,0.361,9.3
58.0,43,7.28,1038.885632,71,12499,47.2,62,72,8.5,72,11.0,7362.76139,7.3,8.9,0.63,12.8
72.2,457,2.84,14.23064496,65,88962,21.2,558,86,4.56,86,0.1,153.1824,5.7,5.0,0.592,9.6
82.1,1,2.69,4279.895512,97,50,64.2,1,96,7.89,96,0.1,36393.66932,1.2,1.1,0.891,15.9
83.0,0,0.01,207.3041936,96,10,59.8,0,99,7.37,99,0.1,2734.88382,0.9,1.0,0.85,14.0
78.9,1,2.53,199.9341033,98,36,58.3,1,93,7.13,93,0.1,2152.1432,1.1,1.1,0.845,15.2
57.6,2,0.01,708.9556648,98,0,31.2,3,98,9.66,98,9.8,3598.75972,4.5,4.6,0.539,11.4
59.0,536,9.3,105.5910629,41,9960,21.0,848,6,4.0,53,5.0,1383.893354,12.0,11.9,0.481,9.2
73.3,1,3.73,104.5169157,96,16,46.9,1,98,6.3,98,0.1,1453.642777,2.0,2.1,0.67,10.7
76.3,0,0.01,2263.103797,94,4,58.5,0,94,6.36,94,0.1,17421.8922,1.9,1.9,0.85,16.5
57.1,25,1.12,7.49281752,82,341,21.5,39,82,4.55,82,2.0,76.535419,8.3,8.2,0.438,8.9
76.0,0,12.06,2425.403891,97,51,59.4,0,96,7.7,96,0.1,15893.8656,1.7,1.7,0.8,14.3
72.9,0,3.24,582.5143743,97,13,29.1,0,96,4.24,97,0.1,6574.654338,7.5,7.4,0.72,13.5
73.6,1,4.25,96.20557078,96,18,46.0,1,97,6.0,97,0.1,1326.97339,2.1,2.1,0.662,10.6
79.8,2,7.26,211.614293,94,6,61.2,2,93,7.0,94,0.1,1475.69242,0.8,0.8,0.82,15.4
57.4,14,1.21,41.96145465,83,120,21.4,21,83,5.37,83,3.8,487.9238913,7.3,7.2,0.449,11.0
74.9,9,5.14,885.9858185,95,0,53.6,11,94,5.18,95,0.1,6387.785281,1.1,1.1,0.725,13.4
69.0,1,0.49,177.2671607,89,48,31.7,2,89,8.37,89,3.2,1253.657431,5.7,5.6,0.436,5.3
74.5,3,3.39,321.6132593,98,0,5.9,3,99,6.39,98,0.1,1682.957924,1.8,1.8,0.62,11.5
74.5,1,5.91,180.3787034,96,7872,54.4,1,94,7.25,93,0.1,4274.376857,2.7,2.8,0.755,13.5
64.1,17,2.03,51.50447119,8,188,14.3,21,8,4.48,8,1.1,539.8791529,11.4,11.6,0.483,10.1
61.6,39,0.01,151.899429,92,1613,26.7,56,91,4.79,92,0.9,1629.8222,6.7,6.6,0.563,11.2
54.1,32,1.23,13.77617463,97,26,18.0,50,97,11.67,97,11.2,512.125451,6.7,6.6,0.444,10.6
73.8,3,0.47,438.4519214,97,334,33.4,4,97,3.47,97,0.1,8513.629541,8.5,8.3,0.747,12.5
73.0,0,15.14,1807.071336,93,0,6.9,0,93,6.67,93,0.1,14341.836,2.7,2.7,0.83,16.5
62.1,6,0.61,17.35739784,9,51,16.0,9,9,3.24,9,0.9,482.14994,8.9,8.8,0.404,5.1
