Adult Mortality,infant deaths,Alcohol,percentage expenditure,Hepatitis B,Measles , BMI ,under-five deaths ,Polio,Total expenditure,Diphtheria , HIV/AIDS,GDP, thinness  1-19 years, thinness 5-9 years,Income composition of resources,Schooling
263,40,1.64,225.2219474,91,120,26.1,58,91,4.81,91,1.3,1574.978653,6.9,6.8,0.554,10.9
138,12,7.81,470.1869145,66,0,55.1,13,94,8.31,93,0.1,2579.193168,1.2,1.0,0.776,16.3
133,11,4.29,516.4037021,93,0,5.2,15,93,4.6,93,0.3,3611.2147,1.2,1.2,0.696,13.2
632,30,3.56,20.84342867,75,0,28.6,46,75,4.96,75,20.5,325.678573,7.8,7.8,0.421,9.7
194,17,5.92,176.0625201,95,7319,19.4,20,97,3.32,96,0.8,1893.145377,9.3,9.6,0.649,11.2
145,32,0.19,21.82252494,72,492,55.8,39,74,3.82,74,0.1,452.74948,5.3,5.1,0.646,10.4
15,4,3.11,311.7553193,97,0,49.3,4,97,9.15,97,0.4,2136.77395,2.2,2.1,0.614,11.6
157,4,3.08,286.1211446,97,0,45.9,5,97,8.84,97,0.5,1815.489496,2.3,2.2,0.603,11.3
131,3,0.49,65.56659662,96,73,35.3,4,96,3.99,96,0.1,971.356987,8.2,8.0,0.764,12.8
388,68,1.76,52.60385429,8,1847,16.9,104,77,4.24,8,10.3,697.66385,8.5,8.4,0.483,9.7
2,1300,2.5,0.844186331,37,56188,15.4,1700,73,4.38,74,0.2,19.317765,27.0,27.8,0.563,10.5
286,2,0.01,1.117811275,95,1,36.8,2,96,5.84,95,2.8,77.625783,7.0,6.7,0.693,12.6
85,3,11.67,6012.92584,9,778,57.6,3,95,1.52,96,0.1,34696.6292,1.1,1.1,0.884,16.4
123,0,4.75,286.8907303,98,0,27.5,0,99,4.83,99,0.4,3312.825985,7.4,7.4,0.627,12.7
139,0,1.83,300.1621026,96,20,15.2,0,98,8.0,98,0.1,2182.99711,14.8,14.8,0.577,11.3
17,0,0.01,151.1045552,99,0,36.2,0,99,3.37,99,0.1,1557.77892,5.7,6.0,0.766,13.2
