Life expectancy ,infant deaths,Alcohol,percentage expenditure,Hepatitis B,Measles , BMI ,under-five deaths ,Polio,Total expenditure,Diphtheria , HIV/AIDS,GDP, thinness  1-19 years, thinness 5-9 years,Income composition of resources,Schooling
61.2,40,1.64,225.2219474,91,120,26.1,58,91,4.81,91,1.3,1574.978653,6.9,6.8,0.554,10.9
74.1,12,7.81,470.1869145,66,0,55.1,13,94,8.31,93,0.1,2579.193168,1.2,1.0,0.776,16.3
74.0,11,4.29,516.4037021,93,0,5.2,15,93,4.6,93,0.3,3611.2147,1.2,1.2,0.696,13.2
48.2,30,3.56,20.84342867,75,0,28.6,46,75,4.96,75,20.5,325.678573,7.8,7.8,0.421,9.7
71.2,17,5.92,176.0625201,95,7319,19.4,20,97,3.32,96,0.8,1893.145377,9.3,9.6,0.649,11.2
76.0,32,0.19,21.82252494,72,492,55.8,39,74,3.82,74,0.1,452.74948,5.3,5.1,0.646,10.4
74.3,4,3.11,311.7553193,97,0,49.3,4,97,9.15,97,0.4,2136.77395,2.2,2.1,0.614,11.6
73.4,4,3.08,286.1211446,97,0,45.9,5,97,8.84,97,0.5,1815.489496,2.3,2.2,0.603,11.3
74.1,3,0.49,65.56659662,96,73,35.3,4,96,3.99,96,0.1,971.356987,8.2,8.0,0.764,12.8
55.3,68,1.76,52.60385429,8,1847,16.9,104,77,4.24,8,10.3,697.66385,8.5,8.4,0.483,9.7
66.0,1300,2.5,0.844186331,37,56188,15.4,1700,73,4.38,74,0.2,19.317765,27.0,27.8,0.563,10.5
64.2,2,0.01,1.117811275,95,1,36.8,2,96,5.84,95,2.8,77.625783,7.0,6.7,0.693,12.6
79.2,3,11.67,6012.92584,9,778,57.6,3,95,1.52,96,0.1,34696.6292,1.1,1.1,0.884,16.4
72.5,0,4.75,286.8907303,98,0,27.5,0,99,4.83,99,0.4,3312.825985,7.4,7.4,0.627,12.7
69.6,0,1.83,300.1621026,96,20,15.2,0,98,8.0,98,0.1,2182.99711,14.8,14.8,0.577,11.3
73.0,0,0.01,151.1045552,99,0,36.2,0,99,3.37,99,0.1,1557.77892,5.7,6.0,0.766,13.2
58.9,14,0.01,41.60027954,84,238,22.6,21,84,5.11,84,1.7,563.6894247,7.0,6.8,0.464,12.0
78.8,0,11.84,1346.246697,95,0,57.0,0,99,7.95,99,0.1,8289.69641,1.0,0.9,0.874,13.5
73.4,9,4.13,14.5887403,69,2,44.3,10,9,3.86,89,0.3,193.741571,1.6,1.5,0.67,12.4
73.0,4,3.61,15.25518816,83,0,42.8,5,85,5.39,83,0.4,116.2743,2.2,2.1,0.562,10.1
68.1,0,1.21,244.3976438,92,0,45.5,0,98,7.92,92,0.1,1158.282672,1.2,1.2,0.494,9.3
61.3,1,0.44,187.4960097,88,7,32.2,2,88,8.84,88,3.1,1325.99724,5.6,5.6,0.441,5.5
61.3,23,0.34,10.43022617,89,3,19.9,38,89,5.44,89,0.7,89.838296,11.2,11.1,0.422,6.6
74.0,1,3.63,194.092569,97,0,47.2,1,99,4.22,95,1.5,4313.1682,1.9,1.7,0.709,12.5
82.1,1,9.62,4873.8188,97,3802,64.1,2,97,9.48,97,0.1,31834.21816,0.6,0.5,0.867,16.9
71.6,0,3.63,287.4671305,41,0,69.7,0,55,4.47,49,0.1,2571.262348,0.2,0.2,0.671,12.6
52.2,4,0.01,168.1348992,95,179,3.8,6,93,11.14,95,9.0,1281.516,6.4,6.2,0.479,11.0
